sample_id,time,label,ecg_lead_segment_1,ecg_lead_segment_2,ecg_lead_segment_3,ecg_lead_segment_4,ecg_lead_segment_5,ecg_lead_segment_6
sample_001,0,ecg_class_negative,0.50205548,-0.31916313,-1.6083704,-0.51272154,0.62021499,0.7501145
sample_001,1,ecg_class_negative,0.54216265,-0.2603787,-1.6628022,-0.10169069,0.60629677,0.85384485
sample_001,2,ecg_class_negative,0.72238348,-0.35035721,-1.6506724,0.063954259,0.67795016,0.91601888
sample_001,3,ecg_class_negative,1.4288852,-0.50548599,-1.6973094,0.082614311,0.68908363,0.82774969
sample_001,4,ecg_class_negative,2.1365158,-0.71088709,-1.8386968,0.23760718,0.59880728,0.88090557
sample_001,5,ecg_class_negative,2.281149,-0.82391982,-1.8025962,0.17479318,0.54264656,1.0888307
sample_001,6,ecg_class_negative,1.9362737,-0.89970154,-1.7805361,0.12320539,0.58180737,0.93104294
sample_001,7,ecg_class_negative,1.46889,-1.1539497,-1.8251665,0.5033942,0.63063068,0.61029836
sample_001,8,ecg_class_negative,1.0088451,-1.2298306,-1.6447633,0.6838702,0.6644198,0.63889427
sample_001,9,ecg_class_negative,0.38028224,-1.044091,-1.4238097,0.47499476,0.6863178,0.68467857
sample_001,10,ecg_class_negative,-0.29677967,-1.2020312,-1.3921949,0.53279711,0.65738251,0.58323764
sample_001,11,ecg_class_negative,-0.51392868,-1.3921949,-1.3604156,0.72354995,0.65088944,0.64052167
sample_001,12,ecg_class_negative,-0.25564469,-1.1301083,-1.2001781,0.6644198,0.72173837,0.70858515
sample_001,13,ecg_class_negative,-0.10720254,-1.1798666,-0.91863234,0.64793559,0.73970645,0.70501088
sample_001,14,ecg_class_negative,-0.28782655,-1.6492718,-0.68591581,0.75705403,0.69148052,0.71381545
sample_001,15,ecg_class_negative,-0.41800901,-1.7265754,-0.66794346,0.7320716,0.69522947,0.43376464
sample_002,0,ecg_class_negative,0.31664616,-0.31865971,-1.6770249,-0.13196163,0.85579127,0.52644092
sample_002,1,ecg_class_negative,0.24319908,-0.29565486,-1.7826278,0.035054082,0.80638433,0.47733909
sample_002,2,ecg_class_negative,0.37047144,-0.41773284,-1.9968716,0.14215881,0.79250094,0.57494596
sample_002,3,ecg_class_negative,1.0637381,-0.68247969,-2.0563716,0.22580665,0.80381413,0.69842456
sample_002,4,ecg_class_negative,1.6781871,-0.88183977,-1.9378809,0.34369036,0.78193839,0.72241431
sample_002,5,ecg_class_negative,1.7595575,-0.84332048,-1.8794116,0.42858907,0.70043908,0.77159793
sample_002,6,ecg_class_negative,1.6977172,-0.88365177,-1.9154266,0.4695677,0.73595994,0.76422904
sample_002,7,ecg_class_negative,1.612159,-1.0300185,-1.8455069,0.56978192,0.86416166,0.61062146
sample_002,8,ecg_class_negative,1.1681877,-1.0552655,-1.658135,0.67566632,0.70766984,0.55290034
