sample_id,time,label,watch_axis_1,watch_axis_2,watch_axis_3,watch_axis_4,watch_axis_5,watch_axis_6
sample_001,0,Badminton,-0.771623,0.372042,-0.145753,-0.03196,0.167792,-0.362219
sample_001,1,Badminton,-0.771623,0.372042,-0.145753,-0.03196,0.167792,-0.362219
sample_001,2,Badminton,-2.323824,-0.296031,1.715016,0.383526,0.22905,-0.239704
sample_001,3,Badminton,-2.752338,-2.830068,1.941302,0.732428,0.378199,0.684487
sample_001,4,Badminton,-2.45097,-4.69772,1.272646,0.047941,-0.386189,1.890995
sample_001,5,Badminton,-0.93746,1.649246,-1.076785,1.238468,-0.053267,2.772571
sample_001,6,Badminton,6.28485,-10.179129,-5.852981,1.440885,-0.290308,2.791215
sample_001,7,Badminton,2.756402,-6.056571,-6.618349,2.591461,-1.651291,3.728722
sample_001,8,Badminton,2.756402,-6.056571,-6.618349,2.591461,-1.651291,3.728722
sample_001,9,Badminton,3.242334,2.908353,-2.03265,3.297255,-1.038715,3.433087
sample_001,10,Badminton,3.918814,0.015999,-5.762189,2.00552,-1.416914,2.801868
sample_001,11,Badminton,6.635823,-2.268551,-3.465497,2.458293,-1.214498,3.126799
sample_001,12,Badminton,10.507528,11.053983,1.051774,3.920484,-0.982784,3.206701
sample_001,13,Badminton,18.195707,9.897648,19.523338,-5.182923,-9.862469,-18.07631
sample_001,14,Badminton,18.195707,9.897648,19.523338,-5.182923,-9.862469,-18.07631
sample_001,15,Badminton,22.839943,-15.801662,-22.686333,0.934844,3.369166,-1.238468
sample_001,16,Badminton,8.25415,-1.409894,-4.241193,3.976415,-1.094646,3.611533
sample_001,17,Badminton,6.191095,-0.533316,0.04372,-2.418342,-2.082757,2.104064
sample_001,18,Badminton,4.126677,-0.188722,5.157976,-1.083993,-2.082757,0.444783
sample_001,19,Badminton,9.430202,-6.701498,10.438023,-4.375921,-2.793878,-0.817655
sample_001,20,Badminton,7.155105,3.838126,1.647816,-4.716833,4.373258,-1.691242
sample_001,21,Badminton,10.015716,11.773987,-5.31261,-9.630755,6.746323,-0.532675
sample_001,22,Badminton,0.723938,8.458529,-6.829639,-5.406646,7.02065,4.189485
sample_001,23,Badminton,2.393076,20.208328,-11.204414,-0.88424,1.041379,0.356892
sample_001,24,Badminton,13.640159,16.175755,-11.619837,-3.523642,-0.346238,-3.291929
sample_001,25,Badminton,18.64572,4.411748,-14.041813,-6.685065,-3.917821,-9.367082
sample_001,26,Badminton,28.408508,1.046184,-23.41489,28.772413,-18.467825,-16.254562
sample_001,27,Badminton,13.113796,4.161999,-1.03168,-3.696761,4.234762,4.52507
sample_001,28,Badminton,-0.817106,-4.053085,-5.677286,-2.764581,2.104064,0.242367
sample_001,29,Badminton,1.513932,-5.858306,-0.958039,-1.765816,-2.032153,-0.117188
sample_001,30,Badminton,4.881533,0.089686,3.590258,2.524877,-2.663373,0.807002
sample_001,31,Badminton,6.12257,-2.999184,8.174298,-1.446211,-2.607442,0.215733
sample_001,32,Badminton,2.16431,-1.373159,8.294344,-1.731192,-0.226387,-0.412823
sample_001,33,Badminton,-1.936317,-2.982153,1.134447,-0.791022,0.857606,-0.945497
sample_001,34,Badminton,-1.936317,-2.982153,1.134447,-0.791022,0.857606,-0.945497
sample_001,35,Badminton,11.388661,1.2887,-1.44506,1.989539,-3.235998,0.953487
sample_001,36,Badminton,12.526302,13.140068,6.037934,-1.235805,-11.369937,-6.543906
sample_001,37,Badminton,26.377253,-24.395222,-24.715273,-18.96854,1.651291,-16.851158
sample_001,38,Badminton,26.377253,-24.395222,-24.715273,-18.96854,1.651291,-16.851158
sample_001,39,Badminton,10.016179,-1.612834,-7.209928,4.245416,3.808623,2.69267
sample_001,40,Badminton,-4.5573,5.407068,-4.852511,-1.946925,1.701895,4.05099
sample_001,41,Badminton,2.611873,2.394867,0.7602,-1.608677,-0.825646,1.787123
sample_001,42,Badminton,-2.155444,2.925131,2.554967,-1.065349,-0.761725,0.447447
sample_001,43,Badminton,0.922488,-0.211837,3.813085,-0.894893,-0.125179,-0.476744
sample_001,44,Badminton,0.981861,-1.533917,3.267366,-1.502142,0.545991,-0.090555
sample_001,45,Badminton,-1.178172,1.373394,6.455228,1.294399,1.265102,0.572625
sample_001,46,Badminton,-0.237505,-1.681072,2.378404,0.24503,2.423669,0.926854
sample_001,47,Badminton,1.943103,-3.049399,-1.172371,1.211835,3.281275,2.604778
sample_001,48,Badminton,5.427128,-0.688561,-1.348702,1.249122,3.907167,3.302582
sample_001,49,Badminton,11.92063,9.680872,-6.64932,-2.359748,4.069634,3.63284
sample_001,50,Badminton,16.547655,10.587934,-13.350161,-3.987069,2.207936,-12.326088
sample_001,51,Badminton,28.768162,6.818126,-17.804968,-10.046241,2.514224,-18.598331
sample_001,52,Badminton,18.251947,-9.302156,3.265368,-2.772571,-4.293356,-1.337013
sample_001,53,Badminton,6.00441,-5.30275,6.235881,3.712741,-1.416914,-1.179874
sample_001,54,Badminton,5.468162,-10.080749,2.587838,-0.910873,-0.868259,0.476744
sample_001,55,Badminton,1.850925,-1.228244,2.281856,1.195854,-1.185201,1.073339
sample_001,56,Badminton,1.555283,1.289943,0.40296,-0.021307,-0.498051,0.785695
sample_001,57,Badminton,0.707126,1.300153,-0.02752,0.19709,0.026634,0.756398
sample_001,58,Badminton,1.073684,-0.599698,-1.870216,-0.799012,-0.351565,0.87625
sample_001,59,Badminton,1.760582,-1.925871,-0.733859,1.60335,-1.142587,1.315706
sample_001,60,Badminton,5.337998,-0.689183,2.151858,5.992588,-1.608677,1.390281
sample_001,61,Badminton,5.337998,-0.689183,2.151858,5.992588,-1.608677,1.390281
sample_001,62,Badminton,8.537132,15.138142,-10.838529,7.723781,-1.227815,1.843054
sample_001,63,Badminton,22.979437,-13.349223,-6.092327,-7.606592,-11.103601,-22.169912
sample_001,64,Badminton,12.291254,-15.600651,-9.442748,-2.050797,1.592697,0.844289
sample_001,65,Badminton,12.291254,-15.600651,-9.442748,-2.050797,1.592697,0.844289
sample_001,66,Badminton,4.048561,-3.834363,-2.165632,-3.952445,-0.543328,1.672598
sample_001,67,Badminton,1.610986,-4.414933,-0.349972,-2.932373,-0.767051,0.956151
sample_001,68,Badminton,-1.968335,-7.583013,-2.349172,-3.949781,-0.098545,0.061258
sample_001,69,Badminton,-1.184172,-6.612927,0.706654,-0.852279,-0.593932,-0.386189
sample_001,70,Badminton,3.514402,-5.49696,1.716759,-1.209171,-0.364882,-0.037287
sample_001,71,Badminton,1.87814,-3.604942,-0.000622,-0.937507,0.857606,0.468754
sample_001,72,Badminton,-1.730367,-0.095024,0.04694,-0.050604,2.199946,0.825646
sample_001,73,Badminton,-2.000344,-1.773939,-1.73409,0.934844,1.946925,1.201181
sample_001,74,Badminton,1.511879,-3.590032,2.462246,1.020072,1.869688,1.941599
sample_001,75,Badminton,0.488133,11.866651,-3.46394,-3.068205,5.40132,3.880534
sample_001,76,Badminton,25.47078,12.055592,2.479609,-0.767051,6.850194,-0.721774
sample_001,77,Badminton,21.237553,10.861025,-14.933769,8.450881,9.052803,-10.261974
sample_001,78,Badminton,24.188162,9.061313,-19.657104,34.86621,-12.877406,-1.451538
sample_001,79,Badminton,16.892605,5.31084,-12.544507,-6.911452,2.114718,7.433473
sample_001,80,Badminton,-1.277784,5.239089,-3.294082,1.115953,-0.351565,0.89223
sample_001,81,Badminton,-6.244718,-1.616839,-1.810618,-3.864554,-0.21307,-1.257112
sample_001,82,Badminton,0.000228,1.130109,0.679049,-0.807002,-0.559308,-2.303817
sample_001,83,Badminton,-0.019679,-0.659871,0.224821,-1.163894,0.021307,-1.672598
sample_001,84,Badminton,-0.019679,-0.659871,0.224821,-1.163894,0.021307,-1.672598
sample_001,85,Badminton,1.647268,1.752387,0.388763,-0.487397,-0.189099,-1.507469
sample_001,86,Badminton,1.489048,1.979115,1.145351,-1.368974,0.673833,-2.032153
sample_001,87,Badminton,-0.673188,0.586289,0.30352,0.641873,0.583279,-1.35033
sample_001,88,Badminton,-4.107069,-1.745196,3.171524,1.270429,0.495387,-0.399506
sample_001,89,Badminton,-4.107069,-1.745196,3.171524,1.270429,0.495387,-0.399506
sample_001,90,Badminton,-8.253124,-15.04077,11.071306,0.577952,4.05898,-0.580615
sample_001,91,Badminton,7.416161,-20.660906,-7.682266,2.631412,5.076388,3.952445
sample_001,92,Badminton,7.416161,-20.660906,-7.682266,2.631412,5.076388,3.952445
sample_001,93,Badminton,16.78165,-7.67475,-6.869991,4.013702,1.520786,5.001813
sample_001,94,Badminton,15.836936,1.997124,-6.854812,1.885668,0.378199,4.181495
sample_001,95,Badminton,15.834576,11.69478,-12.528547,-6.442698,-1.608677,-4.615624
sample_001,96,Badminton,29.131315,-21.58309,-20.727003,-5.475894,6.533253,-20.43073
sample_001,97,Badminton,22.862198,-3.74376,5.725987,-2.261203,-4.993824,-4.168178
sample_001,98,Badminton,17.441282,-9.06429,3.068515,-0.897557,-2.285174,-4.237426
sample_001,99,Badminton,7.191927,-11.497003,2.395642,0.556645,-1.318369,-1.099973
sample_002,0,Badminton,0.130669,-0.119724,-1.019916,0.684487,0.290308,0.67916
sample_002,1,Badminton,0.130669,-0.119724,-1.019916,0.684487,0.290308,0.67916
sample_002,2,Badminton,0.068821,-4.083609,5.390252,0.394179,0.617902,1.59536
sample_002,3,Badminton,1.076776,-4.857832,4.578098,1.201181,1.688578,2.042807
sample_002,4,Badminton,1.106951,-4.32575,2.305553,3.462384,2.900413,2.807195
sample_002,5,Badminton,6.979507,-0.916708,-4.870124,2.415679,2.548847,3.441077
sample_002,6,Badminton,6.979507,-0.916708,-4.870124,2.415679,2.548847,3.441077
sample_002,7,Badminton,5.526448,3.759596,-3.648549,1.057359,2.077431,2.466283
sample_002,8,Badminton,12.68751,11.046341,-9.616472,0.431466,0.039951,-6.57853
sample_002,9,Badminton,28.281353,-3.161823,-16.317772,-10.1874,-1.845717,-15.106649
sample_002,10,Badminton,12.212637,-11.366831,-1.65007,-1.954915,-3.169413,-1.749836
sample_002,11,Badminton,2.695508,-8.733141,-1.498496,-0.021307,-4.911259,-0.428803
sample_002,12,Badminton,4.362091,-0.266826,3.283893,1.238468,-5.318755,0.929517
sample_002,13,Badminton,1.439722,1.25177,10.573519,1.060022,-1.414251,2.157332
sample_002,14,Badminton,0.056754,0.965131,3.421475,-0.769715,-0.660516,0.69514
sample_002,15,Badminton,4.681248,3.867685,3.019021,0.372872,-2.074767,-1.307716
sample_002,16,Badminton,9.46049,-4.063008,4.660543,2.000193,-2.876442,-2.860462
sample_002,17,Badminton,4.77813,11.197021,4.93829,8.269772,-3.584899,0.047941
sample_002,18,Badminton,8.705316,14.496245,-10.662457,1.206508,-1.917628,-4.751457
sample_002,19,Badminton,18.696245,-1.259233,7.840405,0.380862,-8.685258,-14.581965
sample_002,20,Badminton,12.417027,-18.405384,1.085396,-4.588991,2.341105,0.972131
sample_002,21,Badminton,4.393882,-3.841191,-4.029026,-7.297641,0.476744,2.482263
sample_002,22,Badminton,-1.603636,-2.537377,1.251869,-3.297255,-0.532675,2.138688
sample_002,23,Badminton,0.53456,-0.36781,8.124569,-2.70865,0.436793,-0.335585
sample_002,24,Badminton,0.202574,-3.084588,8.065849,-0.506041,3.286602,0.796348
sample_002,25,Badminton,0.202574,-3.084588,8.065849,-0.506041,3.286602,0.796348
sample_002,26,Badminton,4.04372,3.597441,-4.245229,0.838962,5.388003,2.572818
sample_002,27,Badminton,8.046962,4.116344,4.558466,-2.559501,2.000193,1.022735
sample_002,28,Badminton,8.046962,4.116344,4.558466,-2.559501,2.000193,1.022735
sample_002,29,Badminton,17.992743,2.755152,1.464685,-3.100166,5.044427,-2.940363
sample_002,30,Badminton,1.4261,1.884197,-1.908821,-0.037287,10.573589,0.364882
sample_002,31,Badminton,6.26541,11.637951,-12.806659,2.655382,0.543328,-4.040336
sample_002,32,Badminton,14.18726,-6.484013,-12.024311,-3.076195,-8.831743,-6.839541
sample_002,33,Badminton,27.20738,-5.847653,0.9319,2.207936,-10.155439,-6.405411
sample_002,34,Badminton,19.991096,1.199543,4.715064,1.398271,1.432895,-2.959007
sample_002,35,Badminton,5.922827,-1.382493,-0.563379,-0.972131,4.804724,-2.604778
sample_002,36,Badminton,0.856757,-1.987644,-3.976503,-0.055931,6.607827,-4.788744
sample_002,37,Badminton,-4.18574,-7.801239,-1.186005,4.815378,-3.230671,-4.791407
sample_002,38,Badminton,-1.499792,-2.975568,5.078182,2.314471,-3.294592,-0.087891
sample_002,39,Badminton,2.69432,1.887507,4.22224,2.0215,-2.508897,0.44212
sample_002,40,Badminton,2.007466,3.75671,0.895839,1.12927,-0.463427,0.165129
sample_002,41,Badminton,-0.894913,0.183339,-1.742833,1.736519,-0.415486,0.01598
sample_002,42,Badminton,-0.609728,-1.732678,-0.966759,0.111862,-0.490061,-0.141159
sample_002,43,Badminton,-0.549298,-0.790295,-1.613194,-0.511368,-0.940171,-0.050604
sample_002,44,Badminton,-0.416216,-1.449561,-0.421453,0.037287,-0.793685,-0.079901
sample_002,45,Badminton,1.622963,-3.603668,2.581924,0.961478,-0.303624,0.394179
sample_002,46,Badminton,-0.81477,-1.247199,-0.456892,1.880341,0.111862,0.799012
sample_002,47,Badminton,-0.187989,-4.552547,0.435422,1.994866,-0.428803,1.281082
sample_002,48,Badminton,6.173616,-4.331738,-1.837682,3.590226,-2.346431,0.668507
sample_002,49,Badminton,10.653095,1.818565,-0.031974,5.02312,-3.662137,0.303624
sample_002,50,Badminton,6.068772,13.419997,-10.940715,3.225344,-5.103022,-4.794071
sample_002,51,Badminton,18.61019,-27.822042,5.933984,-6.82356,3.995059,-1.209171
sample_002,52,Badminton,3.592144,-3.877969,1.134253,-2.327788,2.365075,4.54904
sample_002,53,Badminton,3.592144,-3.877969,1.134253,-2.327788,2.365075,4.54904
sample_002,54,Badminton,-1.893679,-2.434246,6.22393,-4.072297,-0.183773,0.652526
sample_002,55,Badminton,-0.21577,-4.669673,3.078392,-3.36384,0.599259,-0.077238
sample_002,56,Badminton,-0.21577,-4.669673,3.078392,-3.36384,0.599259,-0.077238
sample_002,57,Badminton,0.222078,-3.236156,-2.074261,-2.136025,0.338248,-1.60335
sample_002,58,Badminton,1.283395,-4.224456,3.664624,1.683252,0.47408,0.26101
sample_002,59,Badminton,1.283395,-4.224456,3.664624,1.683252,0.47408,0.26101
